Date,Year,Month,Production,Storage,Unit
1991-01-01,1991,1,1664.4,,Million Pounds
1990-12-01,1990,12,1437.0,,Million Pounds
1990-11-01,1990,11,1566.9,,Million Pounds
1990-10-01,1990,10,1768.6,,Million Pounds
1990-09-01,1990,9,1421.4,,Million Pounds
1990-08-01,1990,8,1688.8,,Million Pounds
1990-07-01,1990,7,1516.8,,Million Pounds
1990-06-01,1990,6,1535.7,,Million Pounds
1990-05-01,1990,5,1635.1,,Million Pounds
1990-04-01,1990,4,1489.3,,Million Pounds
1990-03-01,1990,3,1540.1,,Million Pounds
1990-02-01,1990,2,1368.0,,Million Pounds
1990-01-01,1990,1,1586.6,,Million Pounds
1989-12-01,1989,12,1491.1,,Million Pounds
1989-11-01,1989,11,1432.2,,Million Pounds
1989-10-01,1989,10,1497.1,,Million Pounds
1989-09-01,1989,9,1426.2,,Million Pounds
1989-08-01,1989,8,1604.2,,Million Pounds
1989-07-01,1989,7,1365.0,,Million Pounds
1989-06-01,1989,6,1514.5,,Million Pounds
1989-05-01,1989,5,1538.5,,Million Pounds
1989-04-01,1989,4,1335.8,,Million Pounds
1989-03-01,1989,3,1473.4,,Million Pounds
1989-02-01,1989,2,1270.1,,Million Pounds
1989-01-01,1989,1,1386.0,,Million Pounds
1988-12-01,1988,12,1328.4,,Million Pounds
1988-11-01,1988,11,1307.1,,Million Pounds
1988-10-01,1988,10,1379.1,,Million Pounds
1988-09-01,1988,9,1378.7,,Million Pounds
1988-08-01,1988,8,1421.9,,Million Pounds
1988-07-01,1988,7,1234.1,,Million Pounds
1988-06-01,1988,6,1398.0,,Million Pounds
1988-05-01,1988,5,1367.3,,Million Pounds
1988-04-01,1988,4,1313.5,,Million Pounds
1988-03-01,1988,3,1400.4,,Million Pounds
1988-02-01,1988,2,1289.7,,Million Pounds
1988-01-01,1988,1,1306.1,,Million Pounds
1987-12-01,1987,12,1336.8,,Million Pounds
1987-11-01,1987,11,1177.1,,Million Pounds
1987-10-01,1987,10,1383.6,,Million Pounds
1987-09-01,1987,9,1371.2,,Million Pounds
1987-08-01,1987,8,1257.0,,Million Pounds
1987-07-01,1987,7,1337.9,,Million Pounds
1987-06-01,1987,6,1371.5,,Million Pounds
1987-05-01,1987,5,1261.0,,Million Pounds
1987-04-01,1987,4,1274.5,,Million Pounds
1987-03-01,1987,3,1298.2,,Million Pounds
1987-02-01,1987,2,1160.7,,Million Pounds
1987-01-01,1987,1,1275.7,,Million Pounds
1986-12-01,1986,12,1252.2,,Million Pounds
1986-11-01,1986,11,1050.4,,Million Pounds
1986-10-01,1986,10,1255.7,,Million Pounds
1986-09-01,1986,9,1241.6,,Million Pounds
1986-08-01,1986,8,1181.0,,Million Pounds
1986-07-01,1986,7,1197.5,,Million Pounds
1986-06-01,1986,6,1194.5,,Million Pounds
1986-05-01,1986,5,1229.1,,Million Pounds
1986-04-01,1986,4,1249.6,,Million Pounds
1986-03-01,1986,3,1115.8,,Million Pounds
1986-02-01,1986,2,1087.0,,Million Pounds
1986-01-01,1986,1,1211.3,,Million Pounds
1985-12-01,1985,12,1094.1,,Million Pounds
1985-11-01,1985,11,997.8,,Million Pounds
1985-10-01,1985,10,1252.5,,Million Pounds
1985-09-01,1985,9,1081.9,,Million Pounds
1985-08-01,1985,8,1198.4,,Million Pounds
1985-07-01,1985,7,1203.3,,Million Pounds
1985-06-01,1985,6,1094.8,,Million Pounds
1985-05-01,1985,5,1221.5,,Million Pounds
1985-04-01,1985,4,1196.6,,Million Pounds
1985-03-01,1985,3,1082.5,,Million Pounds
1985-02-01,1985,2,991.5,,Million Pounds
1985-01-01,1985,1,1154.9,,Million Pounds
1984-12-01,1984,12,995.4,,Million Pounds
1984-11-01,1984,11,1018.7,,Million Pounds
1984-10-01,1984,10,1212.8,,Million Pounds
1984-09-01,1984,9,1026.1,,Million Pounds
1984-08-01,1984,8,1210.5,,Million Pounds
1984-07-01,1984,7,1102.7,,Million Pounds
1984-06-01,1984,6,1113.5,,Million Pounds
1984-05-01,1984,5,1184.4,,Million Pounds
1984-04-01,1984,4,1052.2,,Million Pounds
1984-03-01,1984,3,1069.0,,Million Pounds
1984-02-01,1984,2,984.5,,Million Pounds
1984-01-01,1984,1,1028.9,,Million Pounds
1983-12-01,1983,12,941.6,,Million Pounds
1983-11-01,1983,11,937.2,,Million Pounds
1983-10-01,1983,10,1038.4,,Million Pounds
1983-09-01,1983,9,1044.7,,Million Pounds
1983-08-01,1983,8,1113.1,,Million Pounds
1983-07-01,1983,7,977.4,,Million Pounds
1983-06-01,1983,6,1125.2,,Million Pounds
1983-05-01,1983,5,1096.3,,Million Pounds
1983-04-01,1983,4,1054.3,,Million Pounds
1983-03-01,1983,3,1106.2,,Million Pounds
1983-02-01,1983,2,933.6,,Million Pounds
1983-01-01,1983,1,1021.0,,Million Pounds
